"min_sigma","max_sigma","threshold","overlap","TP","FP","FN","Precision","Sensitivity","F1"
28,40,0.005,0.3,289,1817,251,0.137226970560304,0.535185185185185,0.218442932728647
20,32,0.01,0.3,280,796,260,0.260223048327138,0.518518518518518,0.346534653465347
22,32,0.01,0.3,278,693,262,0.286302780638517,0.514814814814815,0.367968232958306
24,32,0.01,0.3,274,669,266,0.290562036055143,0.507407407407407,0.369521240728253
26,32,0.01,0.3,276,585,264,0.320557491289199,0.511111111111111,0.394004282655246
28,32,0.01,0.3,276,541,264,0.337821297429621,0.511111111111111,0.406779661016949
20,34,0.01,0.3,278,786,262,0.261278195488722,0.514814814814815,0.346633416458853
22,34,0.01,0.3,286,695,254,0.291539245667686,0.52962962962963,0.376068376068376
24,34,0.01,0.3,281,616,259,0.313266443701226,0.52037037037037,0.391092553931802
26,34,0.01,0.3,269,593,271,0.312064965197216,0.498148148148148,0.383737517831669
28,34,0.01,0.3,275,536,265,0.339087546239211,0.509259259259259,0.407105847520355
20,36,0.01,0.3,293,801,247,0.26782449725777,0.542592592592593,0.358629130966952
22,36,0.01,0.3,290,675,250,0.300518134715026,0.537037037037037,0.385382059800664
24,36,0.01,0.3,291,625,249,0.317685589519651,0.538888888888889,0.399725274725275
26,36,0.01,0.3,282,560,258,0.334916864608076,0.522222222222222,0.408104196816208
28,36,0.01,0.3,271,552,269,0.329283110571081,0.501851851851852,0.397652237710932
20,38,0.01,0.3,289,765,251,0.274193548387097,0.535185185185185,0.362609786700126
22,38,0.01,0.3,286,696,254,0.291242362525458,0.52962962962963,0.375821287779238
24,38,0.01,0.3,282,629,258,0.309549945115258,0.522222222222222,0.388697450034459
26,38,0.01,0.3,285,574,255,0.331781140861467,0.527777777777778,0.407433881343817
28,38,0.01,0.3,278,513,262,0.351453855878635,0.514814814814815,0.417731029301277
20,40,0.01,0.3,277,753,263,0.268932038834951,0.512962962962963,0.352866242038217
22,40,0.01,0.3,282,687,258,0.291021671826625,0.522222222222222,0.37375745526839
24,40,0.01,0.3,283,638,257,0.307274701411509,0.524074074074074,0.387405886379192
26,40,0.01,0.3,270,574,270,0.319905213270142,0.5,0.390173410404624
28,40,0.01,0.3,266,533,274,0.332916145181477,0.492592592592593,0.39731142643764
20,32,0.015,0.3,155,236,385,0.396419437340153,0.287037037037037,0.33297529538131
22,32,0.015,0.3,154,188,386,0.450292397660819,0.285185185185185,0.349206349206349
24,32,0.015,0.3,155,182,385,0.459940652818991,0.287037037037037,0.353477765108324
26,32,0.015,0.3,151,163,389,0.480891719745223,0.27962962962963,0.353629976580796
28,32,0.015,0.3,140,151,400,0.481099656357388,0.259259259259259,0.336943441636582
20,34,0.015,0.3,175,239,365,0.422705314009662,0.324074074074074,0.366876310272537
22,34,0.015,0.3,176,203,364,0.464379947229551,0.325925925925926,0.383025027203482
24,34,0.015,0.3,177,175,363,0.502840909090909,0.327777777777778,0.396860986547085
26,34,0.015,0.3,175,165,365,0.514705882352941,0.324074074074074,0.397727272727273
28,34,0.015,0.3,162,154,378,0.512658227848101,0.3,0.378504672897196
20,36,0.015,0.3,184,245,356,0.428904428904429,0.340740740740741,0.379772961816305
22,36,0.015,0.3,185,203,355,0.47680412371134,0.342592592592593,0.398706896551724
24,36,0.015,0.3,187,182,353,0.506775067750677,0.346296296296296,0.411441144114411
26,36,0.015,0.3,177,160,363,0.525222551928783,0.327777777777778,0.403648802736602
28,36,0.015,0.3,171,155,369,0.524539877300613,0.316666666666667,0.394919168591224
20,38,0.015,0.3,191,239,349,0.444186046511628,0.353703703703704,0.393814432989691
22,38,0.015,0.3,192,209,348,0.478802992518703,0.355555555555556,0.40807651434644
24,38,0.015,0.3,191,190,349,0.501312335958005,0.353703703703704,0.414766558089034
26,38,0.015,0.3,183,177,357,0.508333333333333,0.338888888888889,0.406666666666667
28,38,0.015,0.3,172,160,368,0.518072289156627,0.318518518518519,0.394495412844037
20,40,0.015,0.3,194,245,346,0.441913439635535,0.359259259259259,0.39632277834525
22,40,0.015,0.3,195,213,345,0.477941176470588,0.361111111111111,0.411392405063291
24,40,0.015,0.3,193,192,347,0.501298701298701,0.357407407407407,0.417297297297297
26,40,0.015,0.3,187,178,353,0.512328767123288,0.346296296296296,0.413259668508287
